파일,기호,컬럼,엑셀값,엑셀셀,도면원문,도면정규화,도면좌표,판정
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS2,래티스,Ø5,D3,ø5,Ø5,"(12381.0, 8304.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS2,캠버,200,E3,LX/200,200,"(14086.0, 8304.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS2,서포트,-,G3,-,-,"(14392.0, 8304.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS2,TG,110,H3,M13105-110,110,"(12018.0, 8304.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS2,상부피복,30,I3,30,30,"(12529.0, 8343.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS2,하부피복,30,J3,30,30,"(12529.0, 8265.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS2,단부재,MVS,F3,,,,N/A
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS2,강판타입,A,K3,,,,N/A
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS3,TYPE,M13135,B4,M13135-110,M13135,"(12018.0, 8148.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS3,THK.,150,C4,150,150,"(11874.0, 8148.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS3,래티스,Ø5,D4,ø5,Ø5,"(12381.0, 8148.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS3,캠버,200,E4,LX/200,200,"(14086.0, 8148.0)",일치
0403-10~12-GHY_대우건설(식사푸르지오 파크센트)_(MEGA)_B1F-사.xlsm,DS3,서포트,-,G4,-,-,"(14392.0, 8148.0)",일치
